Punto,Fecha,Métrica,Instalaciones en dispositivos activos,Notas
2017-01-04 - 2019-02-18,2017-08-03,,4812
2017-01-04 - 2019-02-18,2017-08-04,,4830
2017-01-04 - 2019-02-18,2017-08-05,,4843
2017-01-04 - 2019-02-18,2017-08-06,,4877
2017-01-04 - 2019-02-18,2017-08-07,,4913
2017-01-04 - 2019-02-18,2017-08-08,,4974
2017-01-04 - 2019-02-18,2017-08-09,,5006
2017-01-04 - 2019-02-18,2017-08-10,,5050
2017-01-04 - 2019-02-18,2017-08-11,,5094
2017-01-04 - 2019-02-18,2017-08-12,,5112
2017-01-04 - 2019-02-18,2017-08-13,,5130
2017-01-04 - 2019-02-18,2017-08-14,,5163
2017-01-04 - 2019-02-18,2017-08-15,,5195
2017-01-04 - 2019-02-18,2017-08-16,,5231
2017-01-04 - 2019-02-18,2017-08-17,,5263
2017-01-04 - 2019-02-18,2017-08-18,,5290
2017-01-04 - 2019-02-18,2017-08-19,,5295
2017-01-04 - 2019-02-18,2017-08-20,,5333
2017-01-04 - 2019-02-18,2017-08-21,,5367
2017-01-04 - 2019-02-18,2017-08-22,,5420
2017-01-04 - 2019-02-18,2017-08-23,,5462
2017-01-04 - 2019-02-18,2017-08-24,,5500
2017-01-04 - 2019-02-18,2017-08-25,,5532
2017-01-04 - 2019-02-18,2017-08-26,,5549
2017-01-04 - 2019-02-18,2017-08-27,,5564
2017-01-04 - 2019-02-18,2017-08-28,,5601
2017-01-04 - 2019-02-18,2017-08-29,,5612
2017-01-04 - 2019-02-18,2017-08-30,,5636
2017-01-04 - 2019-02-18,2017-08-31,,5662
2017-01-04 - 2019-02-18,2017-09-01,,5712
2017-01-04 - 2019-02-18,2017-09-02,,5743
2017-01-04 - 2019-02-18,2017-09-03,,5778
2017-01-04 - 2019-02-18,2017-09-04,,5820
2017-01-04 - 2019-02-18,2017-09-05,,5852
2017-01-04 - 2019-02-18,2017-09-06,,5889
2017-01-04 - 2019-02-18,2017-09-07,,5940
