Fecha,Calificación acumulativa promedio,Notas
2018-07-08,4.17,
2018-07-09,4.17,
2018-07-10,4.18,
2018-07-11,4.19,
2018-07-12,4.19,
2018-07-13,4.19,
2018-07-14,4.19,
2018-07-15,4.19,
2018-07-16,4.19,
2018-07-17,4.19,
2018-07-18,4.19,
2018-07-19,4.19,
2018-07-20,4.19,
2018-07-21,4.19,
2018-07-22,4.19,
2018-07-23,4.19,
2018-07-24,4.19,
2018-07-25,4.19,
2018-07-26,4.19,
2018-07-27,4.19,
2018-07-28,4.20,
2018-07-29,4.20,
2018-07-30,4.20,
2018-07-31,4.20,
2018-08-01,4.20,
2018-08-02,4.21,
2018-08-03,4.21,
2018-08-04,4.22,
2018-08-05,4.22,
2018-08-06,4.22,
2018-08-07,4.23,
2018-08-08,4.23,
2018-08-09,4.23,
2018-08-10,4.23,
2018-08-11,4.23,
2018-08-12,4.23,
2018-08-13,4.23,
2018-08-14,4.23,
2018-08-15,4.23,
2018-08-16,4.23,
2018-08-17,4.23,
2018-08-18,4.23,
2018-08-19,4.23,
2018-08-20,4.23,
2018-08-21,4.23,
2018-08-22,4.23,
2018-08-23,4.23,
2018-08-24,4.23,
2018-08-25,4.23,
2018-08-26,4.23,
2018-08-27,4.23,
2018-08-28,4.23,
2018-08-29,4.23,
2018-08-30,4.24,
2018-08-31,4.24,
2018-09-01,4.24,
2018-09-02,4.24,
2018-09-03,4.24,
2018-09-04,4.24,
2018-09-05,4.24,
2018-09-06,4.24,V2.0
2018-09-07,4.24,
2018-09-08,4.25,
2018-09-09,4.25,
2018-09-10,4.25,
2018-09-11,4.25,
2018-09-12,4.25,
2018-09-13,4.25,
2018-09-14,4.25,
2018-09-15,4.25,
2018-09-16,4.26,
2018-09-17,4.26,
2018-09-18,4.26,
2018-09-19,4.26,
2018-09-20,4.26,
2018-09-21,4.26,
2018-09-22,4.26,
2018-09-23,4.26,
2018-09-24,4.27,
2018-09-25,4.27,
2018-09-26,4.27,
2018-09-27,4.27,
2018-09-28,4.27,
2018-09-29,4.27,
2018-09-30,4.27,
2018-10-01,4.27,
2018-10-02,4.27,
2018-10-03,4.27,
2018-10-04,4.28,
2018-10-05,4.28,
2018-10-06,4.28,
